,,Б2.О.03(П),Научно-исследовательская работа. Часть 2,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
ОПК-5.3,,,Способен осуществлять контроль обеспечения информационной безопасности и проводить верификацию данных в открытых информационных системах;,-
,ОПК-5.3.1,,Способен осуществлять контроль обеспечения информационной безопасности в открытых информационных системах,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.48,Открытые информационные системы,
,,Б1.О.52,Комплексная защита информации,
,,Б2.О.02(П),Научно-исследовательская работа. Часть 1,
,,Б2.О.03(П),Научно-исследовательская работа. Часть 2,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,ОПК-5.3.2,,Способен проводить верификацию данных в открытых информационных системах,-
,,Б1.О.12,Разработка и эксплуатация автоматизированных систем в защищённом исполнении,
,,Б1.О.48,Открытые информационные системы,
,,Б1.О.52,Комплексная защита информации,
,,Б2.О.02(П),Научно-исследовательская работа. Часть 1,
,,Б2.О.03(П),Научно-исследовательская работа. Часть 2,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
ПК-1,,,Способен разрабатывать модели угроз и модели нарушителя информационной безопасности автоматизированной системы,-
,ПК-1.1,,Участвует в разработке модели угроз и нарушителя  информационной безопасности автоматизированной системы,-
,,Б1.В.02,Междисциплинарный курсовой проект,
,,Б1.В.04,Защита программ и данных,
,,Б1.В.ДВ.01.02,Конечные поля и многочлены над ними,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б2.В.02(П),Эксплуатационная практика,
,,Б2.В.03(П),Преддипломная практика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
,ПК-1.2,,Имеет представление о принципах построения автоматизированных систем,-
,,Б1.В.02,Междисциплинарный курсовой проект,
,,Б1.В.04,Защита программ и данных,
,,Б2.В.01(У),Учебно-лабораторный практикум,
,,Б2.В.02(П),Эксплуатационная практика,
,,Б2.В.03(П),Преддипломная практика,
,,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,
,,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,
ПК-2,,,Способен создавать и исследовать модели автоматизированных систем и подсистем безопасности автоматизированных систем,-
,ПК-2.1,,Имеет представление о моделях безопасности автоматизированных систем,-
